generic_name,generic_name_lower,source_ingredient,ingredient_id,is_combination,nafdac_url
& 18) L1 protein vaccine,& 18) l1 protein vaccine,"Human papillomavirus quadrivalent (types 6, 11, 16, & 18) L1 protein vaccine, recombinant",1761,True,https://greenbook.nafdac.gov.ng/ingredient/products/1761
10 CCID50 Neomycin 15mcg Stabilizer 1M MgCL2,10 ccid50 neomycin 15mcg stabilizer 1m mgcl2,Polio virus grown on primary monkey kidney culture Type 1&gt; 10 CCID50 Type 111&gt; 10 CCID50 Neomycin 15mcg Stabilizer 1M MgCL2,1763,True,https://greenbook.nafdac.gov.ng/ingredient/products/1763
10 CCID50 Type 111&gt,10 ccid50 type 111&gt,Polio virus grown on primary monkey kidney culture Type 1&gt; 10 CCID50 Type 111&gt; 10 CCID50 Neomycin 15mcg Stabilizer 1M MgCL2,1763,True,https://greenbook.nafdac.gov.ng/ingredient/products/1763
17D-204 strain (live,17d-204 strain (live,"Yellow fever virus1, 17D-204 strain (live, attenuated)",1774,True,https://greenbook.nafdac.gov.ng/ingredient/products/1774
18C,18c,"Pneumococcal polysaccharide serotype 1; Pneumococcal polysaccharide serotypes 3, 4, 5, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F; Pneumococcal polysaccharide serotype 6B; Adsorbed onto Aluminum Phosphate, as Al+++ 2- Phenoxyethanol; Polysaccharides conjugated to 20-50 µg of CRM197",2281,True,https://greenbook.nafdac.gov.ng/ingredient/products/2281
19A,19a,"Pneumococcal polysaccharide serotype 1; Pneumococcal polysaccharide serotypes 3, 4, 5, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F; Pneumococcal polysaccharide serotype 6B; Adsorbed onto Aluminum Phosphate, as Al+++ 2- Phenoxyethanol; Polysaccharides conjugated to 20-50 µg of CRM197",2281,True,https://greenbook.nafdac.gov.ng/ingredient/products/2281
19F,19f,"Pneumococcal polysaccharide serotype 1; Pneumococcal polysaccharide serotypes 3, 4, 5, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F; Pneumococcal polysaccharide serotype 6B; Adsorbed onto Aluminum Phosphate, as Al+++ 2- Phenoxyethanol; Polysaccharides conjugated to 20-50 µg of CRM197",2281,True,https://greenbook.nafdac.gov.ng/ingredient/products/2281
19F and 23F,19f and 23f,"Saccharide for each serotype 1, 5, 6A, 7F, 9V, 14, 19A, 19F and 23F; Saccharide for serotype 6B",2101,True,https://greenbook.nafdac.gov.ng/ingredient/products/2101
2- Phenoxyethanol,2- phenoxyethanol,"Pneumococcal polysaccharide serotype 1; Pneumococcal polysaccharide serotypes 3, 4, 5, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F; Pneumococcal polysaccharide serotype 6B; Adsorbed onto Aluminum Phosphate, as Al+++ 2- Phenoxyethanol; Polysaccharides conjugated to 20-50 µg of CRM197",2281,True,https://greenbook.nafdac.gov.ng/ingredient/products/2281
2-Hydroxyethyl salicylate,2-hydroxyethyl salicylate,Methyl salicylate; Ethyl salicylate; 2-Hydroxyethyl salicylate; Methyl nicotinate,1338,True,https://greenbook.nafdac.gov.ng/ingredient/products/1338
22F,22f,"Pneumococcal polysaccharide serotype 1; Pneumococcal polysaccharide serotypes 3, 4, 5, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F; Pneumococcal polysaccharide serotype 6B; Adsorbed onto Aluminum Phosphate, as Al+++ 2- Phenoxyethanol; Polysaccharides conjugated to 20-50 µg of CRM197",2281,True,https://greenbook.nafdac.gov.ng/ingredient/products/2281
23F and 33F,23f and 33f,"Pneumococcal polysaccharide serotype 1; Pneumococcal polysaccharide serotypes 3, 4, 5, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F; Pneumococcal polysaccharide serotype 6B; Adsorbed onto Aluminum Phosphate, as Al+++ 2- Phenoxyethanol; Polysaccharides conjugated to 20-50 µg of CRM197",2281,True,https://greenbook.nafdac.gov.ng/ingredient/products/2281
4-Dichlorobenzyl alcohol,4-dichlorobenzyl alcohol,"2, 4-Dichlorobenzyl alcohol, Amylmetacresol, Vitamin C",2198,True,https://greenbook.nafdac.gov.ng/ingredient/products/2198
Abacavir,abacavir,Abacavir Sulfate,585,False,https://greenbook.nafdac.gov.ng/ingredient/products/585
Abiraterone,abiraterone,Abiraterone Acetate,1377,False,https://greenbook.nafdac.gov.ng/ingredient/products/1377
Acarbose,acarbose,Acarbose,636,False,https://greenbook.nafdac.gov.ng/ingredient/products/636
Aceclofenac,aceclofenac,Aceclofenac,74,False,https://greenbook.nafdac.gov.ng/ingredient/products/74
Acetaminophen,acetaminophen,Acetaminophen,2084,False,https://greenbook.nafdac.gov.ng/ingredient/products/2084
Acetazolamide,acetazolamide,Acetazolamide,789,False,https://greenbook.nafdac.gov.ng/ingredient/products/789
Acetic acid,acetic acid,Acetic acid,1488,False,https://greenbook.nafdac.gov.ng/ingredient/products/1488
Acetylcysteine,acetylcysteine,Acetylcysteine,960,False,https://greenbook.nafdac.gov.ng/ingredient/products/960
Acetylsalicylic Acid,acetylsalicylic acid,Acetylsalicylic Acid,44,False,https://greenbook.nafdac.gov.ng/ingredient/products/44
Aciclovir,aciclovir,Aciclovir,748,False,https://greenbook.nafdac.gov.ng/ingredient/products/748
Activated Charcoal,activated charcoal,Activated Charcoal,959,False,https://greenbook.nafdac.gov.ng/ingredient/products/959
Adalimumab,adalimumab,Adalimumab,1471,False,https://greenbook.nafdac.gov.ng/ingredient/products/1471
Adapalene,adapalene,Adapalene,1947,False,https://greenbook.nafdac.gov.ng/ingredient/products/1947
Adenopus breviflorus,adenopus breviflorus,Colocynthis Citrullus; Citrus aurantifolia; Curculigo pilos; Nicotiana tabacum; Adenopus breviflorus,1886,True,https://greenbook.nafdac.gov.ng/ingredient/products/1886
Adrenaline,adrenaline,Adrenaline,1687,False,https://greenbook.nafdac.gov.ng/ingredient/products/1687
Adsorbed on Aluminium,adsorbed on aluminium,Diphtheria Toxoid; Tetanus Toxoid; Adsorbed on Aluminium Phosphate; Thiomersal,2282,True,https://greenbook.nafdac.gov.ng/ingredient/products/2282
Adsorbed onto Aluminum,adsorbed onto aluminum,"Pneumococcal polysaccharide serotype 1; Pneumococcal polysaccharide serotypes 3, 4, 5, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F and 33F; Pneumococcal polysaccharide serotype 6B; Adsorbed onto Aluminum Phosphate, as Al+++ 2- Phenoxyethanol; Polysaccharides conjugated to 20-50 µg of CRM197",2281,True,https://greenbook.nafdac.gov.ng/ingredient/products/2281
Aflibercept,aflibercept,Aflibercept,2298,False,https://greenbook.nafdac.gov.ng/ingredient/products/2298
Albendazole,albendazole,Albendazole,570,False,https://greenbook.nafdac.gov.ng/ingredient/products/570
Alcohol,alcohol,Alcohol,2050,False,https://greenbook.nafdac.gov.ng/ingredient/products/2050
Alcohol (95 % v,alcohol (95 % v,Thymol; Sodium fluoride; Alcohol (95 % v/v),1414,True,https://greenbook.nafdac.gov.ng/ingredient/products/1414
Alcohol (95% v,alcohol (95% v,Thymol; Alcohol (95% v/v),1415,True,https://greenbook.nafdac.gov.ng/ingredient/products/1415
Alcohol swabs,alcohol swabs,Alcohol swabs,2010,False,https://greenbook.nafdac.gov.ng/ingredient/products/2010
Alcuronium,alcuronium,Alcuronium,140,False,https://greenbook.nafdac.gov.ng/ingredient/products/140
Alendronic acid,alendronic acid,Alendronic acid,113,False,https://greenbook.nafdac.gov.ng/ingredient/products/113
Alfacalcidol,alfacalcidol,Alfacalcidol,345,False,https://greenbook.nafdac.gov.ng/ingredient/products/345
Alfuzosin,alfuzosin,Alfuzosin Hydrochloride,695,False,https://greenbook.nafdac.gov.ng/ingredient/products/695
alginate,alginate,Aluminium hydroxide; Magnesium hydroxide; Simeticone; Sodium alginate,1337,True,https://greenbook.nafdac.gov.ng/ingredient/products/1337
Alginic Acid,alginic acid,Alginic Acid; Magnesium Hydroxide; Dried Aluminium Hydroxide; Sodium Bicarbonate,2268,True,https://greenbook.nafdac.gov.ng/ingredient/products/2268
Alkyl Benzoate,alkyl benzoate,Silicon Dioxide; Alkyl Benzoate,2210,True,https://greenbook.nafdac.gov.ng/ingredient/products/2210
Allantoin,allantoin,Allantoin; Dimethicone; Urea,1638,True,https://greenbook.nafdac.gov.ng/ingredient/products/1638
Allium sativum,allium sativum,Allium sativum (Garlic); Xylopia aethiopica,1875,True,https://greenbook.nafdac.gov.ng/ingredient/products/1875
Allopurinol,allopurinol,Allopurinol,102,False,https://greenbook.nafdac.gov.ng/ingredient/products/102
Aloe vera,aloe vera,Cod liver oil; Aloe vera,1219,True,https://greenbook.nafdac.gov.ng/ingredient/products/1219
Alpelisib,alpelisib,Alpelisib,1652,False,https://greenbook.nafdac.gov.ng/ingredient/products/1652
Alpha Lipoic Acid,alpha lipoic acid,Methylcobalamin; Alpha Lipoic Acid; Chromium (Chromium Polynicotinate); Selenium (Selenomethionine); Zinc (Zinc Ascorbate); Calcium-D Pantothenate; Vitamin B6; Folic Acid,1565,True,https://greenbook.nafdac.gov.ng/ingredient/products/1565
