ingredient_name,ingredient_id,nafdac_url,page_scraped,ingredient_name_clean,is_combination,component_count,components
"2,4-Dichlorobenzyl alcohol , Amylmetacresol ,Vitamin C",2198,https://greenbook.nafdac.gov.ng/ingredient/products/2198,1,"2, 4-Dichlorobenzyl alcohol, Amylmetacresol, Vitamin C",True,4,4-Dichlorobenzyl alcohol | Amylmetacresol | Vitamin C
Abacavir Sulfate,585,https://greenbook.nafdac.gov.ng/ingredient/products/585,1,Abacavir Sulfate,False,1,Abacavir
Abacavir Sulfate; Lamivudine,1850,https://greenbook.nafdac.gov.ng/ingredient/products/1850,1,Abacavir Sulfate; Lamivudine,True,2,Abacavir | Lamivudine
"ABACAVIR, DOLUTEGRAVIR, LAMIVUDINE",2335,https://greenbook.nafdac.gov.ng/ingredient/products/2335,1,"ABACAVIR, DOLUTEGRAVIR, LAMIVUDINE",True,3,ABACAVIR | DOLUTEGRAVIR | LAMIVUDINE
Abacavir; Lamivudine,601,https://greenbook.nafdac.gov.ng/ingredient/products/601,1,Abacavir; Lamivudine,True,2,Abacavir | Lamivudine
Abacavir; Lamivudine; Efavirenz,1467,https://greenbook.nafdac.gov.ng/ingredient/products/1467,1,Abacavir; Lamivudine; Efavirenz,True,3,Abacavir | Lamivudine | Efavirenz
Abacavir; Lamivudine; Zidovudine,602,https://greenbook.nafdac.gov.ng/ingredient/products/602,1,Abacavir; Lamivudine; Zidovudine,True,3,Abacavir | Lamivudine | Zidovudine
Abiraterone Acetate,1377,https://greenbook.nafdac.gov.ng/ingredient/products/1377,1,Abiraterone Acetate,False,1,Abiraterone
Acarbose,636,https://greenbook.nafdac.gov.ng/ingredient/products/636,1,Acarbose,False,1,Acarbose
Aceclofenac,74,https://greenbook.nafdac.gov.ng/ingredient/products/74,1,Aceclofenac,False,1,Aceclofenac
Aceclofenac; Methyl Salicylate; Capsaicin; Linseed Oil,1864,https://greenbook.nafdac.gov.ng/ingredient/products/1864,1,Aceclofenac; Methyl Salicylate; Capsaicin; Linseed Oil,True,4,Aceclofenac | Methyl Salicylate | Capsaicin | Linseed Oil
